id,reporte_id,tipo_trabajo,descripcion,prioridad,materiales,observaciones_materiales,created_at,updated_at
46,46,reparacion,Es necesario reparar el sistema dañado,urgente,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-22 06:13:00,2023-01-24 15:13:00
47,47,reparacion,Es necesario reparar el sistema dañado,normal,"Router TP-Link, Cable UTP",,2023-01-15 21:52:00,2023-01-16 07:52:00
48,48,mantenimiento,Realizar mantenimiento preventivo,alta,Modem Huawei,,2023-01-17 17:20:00,2023-01-20 07:20:00
49,49,configuracion,Configurar nuevamente el equipo,alta,Modem Huawei,Verificar stock en bodega,2023-01-17 12:33:00,2023-01-18 19:33:00
50,50,configuracion,Configurar nuevamente el equipo,urgente,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-25 23:24:00,2023-01-27 12:24:00
51,51,instalacion,Hay que ir a instalar una nueva conexión,alta,Modem Huawei,Verificar stock en bodega,2023-01-25 14:22:00,2023-01-26 04:22:00
52,52,configuracion,Configurar nuevamente el equipo,baja,"Router TP-Link, Cable UTP",,2023-01-26 22:08:00,2023-01-29 05:08:00
53,53,mantenimiento,Realizar mantenimiento preventivo,alta,Antena de 5GHz,,2023-01-29 05:48:00,2023-01-30 15:48:00
54,54,instalacion,Hay que ir a instalar una nueva conexión,urgente,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-26 19:08:00,2023-01-28 13:08:00
55,55,mantenimiento,Realizar mantenimiento preventivo,alta,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-24 20:56:00,2023-01-26 15:56:00
56,56,reparacion,Es necesario reparar el sistema dañado,urgente,,,2023-01-28 20:16:00,2023-01-29 21:16:00
57,57,reparacion,Es necesario reparar el sistema dañado,alta,Antena de 5GHz,Verificar stock en bodega,2023-01-25 14:20:00,2023-01-27 23:20:00
58,58,mantenimiento,Realizar mantenimiento preventivo,alta,,,2023-01-24 13:14:00,2023-01-24 15:14:00
59,59,reparacion,Es necesario reparar el sistema dañado,urgente,Modem Huawei,,2023-01-24 10:47:00,2023-01-26 15:47:00
60,60,configuracion,Configurar nuevamente el equipo,urgente,Switch de 8 puertos,,2023-01-26 18:20:00,2023-01-27 21:20:00
61,61,instalacion,Hay que ir a instalar una nueva conexión,baja,Switch de 8 puertos,Verificar stock en bodega,2023-01-26 05:43:00,2023-01-26 07:43:00
62,62,mantenimiento,Realizar mantenimiento preventivo,normal,Switch de 8 puertos,,2023-02-03 18:15:00,2023-02-06 02:15:00
63,63,reparacion,Es necesario reparar el sistema dañado,normal,Modem Huawei,,2023-02-05 02:12:00,2023-02-06 10:12:00
64,64,reparacion,Es necesario reparar el sistema dañado,urgente,,,2023-01-29 22:24:00,2023-01-30 07:24:00
65,65,instalacion,Hay que ir a instalar una nueva conexión,urgente,,Verificar stock en bodega,2023-02-01 13:42:00,2023-02-04 09:42:00
66,66,instalacion,Hay que ir a instalar una nueva conexión,urgente,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-31 20:47:00,2023-02-03 17:47:00
67,67,mantenimiento,Realizar mantenimiento preventivo,alta,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-01-30 05:20:00,2023-01-31 17:20:00
68,68,instalacion,Hay que ir a instalar una nueva conexión,urgente,Modem Huawei,Verificar stock en bodega,2023-01-30 13:52:00,2023-01-31 08:52:00
69,69,reparacion,Es necesario reparar el sistema dañado,urgente,Modem Huawei,Verificar stock en bodega,2023-01-29 23:22:00,2023-01-31 05:22:00
70,70,reparacion,Es necesario reparar el sistema dañado,urgente,Modem Huawei,Verificar stock en bodega,2023-02-02 08:32:00,2023-02-03 15:32:00
71,71,instalacion,Hay que ir a instalar una nueva conexión,normal,"Router TP-Link, Cable UTP",,2023-02-04 14:58:00,2023-02-06 18:58:00
72,72,configuracion,Configurar nuevamente el equipo,baja,Antena de 5GHz,,2023-02-02 20:14:00,2023-02-04 23:14:00
73,73,reparacion,Es necesario reparar el sistema dañado,baja,Modem Huawei,Verificar stock en bodega,2023-01-30 07:10:00,2023-02-01 01:10:00
74,74,instalacion,Hay que ir a instalar una nueva conexión,alta,Switch de 8 puertos,Verificar stock en bodega,2023-01-31 11:57:00,2023-02-02 20:57:00
75,75,mantenimiento,Realizar mantenimiento preventivo,urgente,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-02-04 14:26:00,2023-02-05 06:26:00
76,76,mantenimiento,Realizar mantenimiento preventivo,urgente,Modem Huawei,Verificar stock en bodega,2023-02-02 03:06:00,2023-02-03 05:06:00
77,77,instalacion,Hay que ir a instalar una nueva conexión,urgente,"Router TP-Link, Cable UTP",,2023-02-01 04:00:00,2023-02-01 17:00:00
78,78,instalacion,Hay que ir a instalar una nueva conexión,normal,Antena de 5GHz,Verificar stock en bodega,2023-02-02 09:12:00,2023-02-04 08:12:00
79,79,mantenimiento,Realizar mantenimiento preventivo,normal,Modem Huawei,Verificar stock en bodega,2023-01-30 05:08:00,2023-02-01 10:08:00
80,80,reparacion,Es necesario reparar el sistema dañado,urgente,Antena de 5GHz,Verificar stock en bodega,2023-01-29 19:51:00,2023-02-01 15:51:00
81,81,mantenimiento,Realizar mantenimiento preventivo,urgente,,Verificar stock en bodega,2023-02-02 18:48:00,2023-02-03 00:48:00
82,82,configuracion,Configurar nuevamente el equipo,normal,Modem Huawei,,2023-02-02 22:18:00,2023-02-05 19:18:00
83,83,instalacion,Hay que ir a instalar una nueva conexión,normal,Modem Huawei,Verificar stock en bodega,2023-02-04 08:01:00,2023-02-04 10:01:00
84,84,instalacion,Hay que ir a instalar una nueva conexión,urgente,Antena de 5GHz,,2023-02-11 20:45:00,2023-02-12 22:45:00
85,85,instalacion,Hay que ir a instalar una nueva conexión,urgente,Antena de 5GHz,,2023-02-11 03:46:00,2023-02-11 05:46:00
86,86,reparacion,Es necesario reparar el sistema dañado,urgente,Antena de 5GHz,Verificar stock en bodega,2023-02-08 03:35:00,2023-02-10 21:35:00
87,87,configuracion,Configurar nuevamente el equipo,alta,Modem Huawei,,2023-02-07 18:46:00,2023-02-10 05:46:00
88,88,instalacion,Hay que ir a instalar una nueva conexión,normal,"Router TP-Link, Cable UTP",,2023-02-09 04:47:00,2023-02-09 18:47:00
89,89,instalacion,Hay que ir a instalar una nueva conexión,urgente,Antena de 5GHz,,2023-02-11 21:24:00,2023-02-12 18:24:00
90,90,configuracion,Configurar nuevamente el equipo,normal,Modem Huawei,Verificar stock en bodega,2023-02-10 11:40:00,2023-02-10 14:40:00
91,91,reparacion,Es necesario reparar el sistema dañado,alta,Antena de 5GHz,Verificar stock en bodega,2023-02-10 23:30:00,2023-02-13 19:30:00
92,92,instalacion,Hay que ir a instalar una nueva conexión,alta,"Router TP-Link, Cable UTP",,2023-02-08 04:19:00,2023-02-11 02:19:00
93,93,instalacion,Hay que ir a instalar una nueva conexión,normal,,Verificar stock en bodega,2023-02-06 04:33:00,2023-02-06 07:33:00
94,94,configuracion,Configurar nuevamente el equipo,alta,"Router TP-Link, Cable UTP",,2023-02-05 17:01:00,2023-02-06 01:01:00
95,95,reparacion,Es necesario reparar el sistema dañado,alta,Switch de 8 puertos,Verificar stock en bodega,2023-02-11 07:01:00,2023-02-13 03:01:00
96,96,configuracion,Configurar nuevamente el equipo,normal,Switch de 8 puertos,Verificar stock en bodega,2023-02-11 08:13:00,2023-02-12 00:13:00
97,97,mantenimiento,Realizar mantenimiento preventivo,urgente,Modem Huawei,Verificar stock en bodega,2023-02-06 14:56:00,2023-02-09 04:56:00
98,98,instalacion,Hay que ir a instalar una nueva conexión,urgente,,Verificar stock en bodega,2023-02-08 09:30:00,2023-02-09 11:30:00
99,99,reparacion,Es necesario reparar el sistema dañado,urgente,Switch de 8 puertos,Verificar stock en bodega,2023-02-10 22:02:00,2023-02-11 00:02:00
100,100,reparacion,Es necesario reparar el sistema dañado,urgente,Switch de 8 puertos,Verificar stock en bodega,2023-02-07 03:23:00,2023-02-08 01:23:00
101,101,configuracion,Configurar nuevamente el equipo,normal,Antena de 5GHz,Verificar stock en bodega,2023-02-08 18:33:00,2023-02-09 17:33:00
102,102,configuracion,Configurar nuevamente el equipo,baja,,Verificar stock en bodega,2023-02-07 02:05:00,2023-02-07 20:05:00
103,103,configuracion,Configurar nuevamente el equipo,alta,,Verificar stock en bodega,2023-02-09 16:38:00,2023-02-11 20:38:00
104,104,mantenimiento,Realizar mantenimiento preventivo,alta,Switch de 8 puertos,Verificar stock en bodega,2023-02-17 00:27:00,2023-02-17 22:27:00
105,105,reparacion,Es necesario reparar el sistema dañado,urgente,,Verificar stock en bodega,2023-02-13 06:15:00,2023-02-15 10:15:00
106,106,mantenimiento,Realizar mantenimiento preventivo,normal,Modem Huawei,,2023-02-16 00:22:00,2023-02-17 00:22:00
107,107,mantenimiento,Realizar mantenimiento preventivo,alta,Modem Huawei,Verificar stock en bodega,2023-02-13 02:45:00,2023-02-15 00:45:00
108,108,mantenimiento,Realizar mantenimiento preventivo,baja,Switch de 8 puertos,,2023-02-15 15:26:00,2023-02-17 22:26:00
109,109,configuracion,Configurar nuevamente el equipo,alta,Switch de 8 puertos,,2023-02-17 15:33:00,2023-02-19 13:33:00
110,110,configuracion,Configurar nuevamente el equipo,urgente,Switch de 8 puertos,Verificar stock en bodega,2023-02-13 04:10:00,2023-02-15 03:10:00
111,111,mantenimiento,Realizar mantenimiento preventivo,alta,Switch de 8 puertos,,2023-02-17 18:29:00,2023-02-19 02:29:00
112,112,configuracion,Configurar nuevamente el equipo,normal,,,2023-02-15 22:22:00,2023-02-17 18:22:00
113,113,configuracion,Configurar nuevamente el equipo,urgente,Switch de 8 puertos,Verificar stock en bodega,2023-02-17 08:15:00,2023-02-19 02:15:00
114,114,reparacion,Es necesario reparar el sistema dañado,urgente,"Router TP-Link, Cable UTP",,2023-02-18 17:58:00,2023-02-21 00:58:00
115,115,instalacion,Hay que ir a instalar una nueva conexión,normal,Antena de 5GHz,,2023-02-13 15:22:00,2023-02-15 22:22:00
116,116,reparacion,Es necesario reparar el sistema dañado,normal,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-02-15 16:31:00,2023-02-15 22:31:00
117,117,mantenimiento,Realizar mantenimiento preventivo,baja,"Router TP-Link, Cable UTP",,2023-02-19 03:38:00,2023-02-21 23:38:00
118,118,reparacion,Es necesario reparar el sistema dañado,baja,Antena de 5GHz,,2023-02-21 08:42:00,2023-02-21 19:42:00
119,119,configuracion,Configurar nuevamente el equipo,urgente,Modem Huawei,Verificar stock en bodega,2023-02-23 11:02:00,2023-02-24 23:02:00
120,120,configuracion,Configurar nuevamente el equipo,baja,"Router TP-Link, Cable UTP",,2023-02-23 18:52:00,2023-02-24 04:52:00
121,121,instalacion,Hay que ir a instalar una nueva conexión,urgente,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-02-24 01:34:00,2023-02-25 03:34:00
122,122,mantenimiento,Realizar mantenimiento preventivo,alta,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-02-19 18:01:00,2023-02-21 21:01:00
123,123,reparacion,Es necesario reparar el sistema dañado,urgente,,,2023-02-21 17:54:00,2023-02-22 05:54:00
124,124,reparacion,Es necesario reparar el sistema dañado,alta,Modem Huawei,,2023-02-24 19:07:00,2023-02-26 13:07:00
125,125,instalacion,Hay que ir a instalar una nueva conexión,alta,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-02-24 18:55:00,2023-02-27 18:55:00
126,126,reparacion,Es necesario reparar el sistema dañado,alta,Antena de 5GHz,,2023-02-20 13:40:00,2023-02-21 20:40:00
127,127,mantenimiento,Realizar mantenimiento preventivo,alta,Switch de 8 puertos,,2023-02-24 07:18:00,2023-02-25 12:18:00
128,128,configuracion,Configurar nuevamente el equipo,normal,,Verificar stock en bodega,2023-02-24 04:37:00,2023-02-25 16:37:00
129,129,configuracion,Configurar nuevamente el equipo,alta,Antena de 5GHz,Verificar stock en bodega,2023-02-24 23:47:00,2023-02-27 03:47:00
130,130,instalacion,Hay que ir a instalar una nueva conexión,urgente,,,2023-02-25 02:04:00,2023-02-28 00:04:00
131,131,mantenimiento,Realizar mantenimiento preventivo,alta,Switch de 8 puertos,,2023-02-22 10:49:00,2023-02-24 23:49:00
132,132,configuracion,Configurar nuevamente el equipo,alta,"Router TP-Link, Cable UTP",,2023-02-28 02:00:00,2023-02-28 10:00:00
133,133,reparacion,Es necesario reparar el sistema dañado,alta,,Verificar stock en bodega,2023-03-01 17:10:00,2023-03-01 18:10:00
134,134,configuracion,Configurar nuevamente el equipo,baja,Switch de 8 puertos,,2023-03-04 21:41:00,2023-03-05 12:41:00
135,135,mantenimiento,Realizar mantenimiento preventivo,baja,Switch de 8 puertos,,2023-03-02 16:03:00,2023-03-03 17:03:00
136,136,configuracion,Configurar nuevamente el equipo,urgente,Modem Huawei,,2023-03-02 00:01:00,2023-03-03 20:01:00
137,137,mantenimiento,Realizar mantenimiento preventivo,urgente,,,2023-03-03 07:38:00,2023-03-05 06:38:00
138,138,instalacion,Hay que ir a instalar una nueva conexión,alta,Modem Huawei,,2023-03-02 06:13:00,2023-03-02 08:13:00
139,139,instalacion,Hay que ir a instalar una nueva conexión,baja,Modem Huawei,Verificar stock en bodega,2023-02-26 11:45:00,2023-03-01 09:45:00
140,140,mantenimiento,Realizar mantenimiento preventivo,normal,"Router TP-Link, Cable UTP",,2023-03-04 15:28:00,2023-03-05 18:28:00
141,141,instalacion,Hay que ir a instalar una nueva conexión,urgente,Antena de 5GHz,Verificar stock en bodega,2023-03-02 07:22:00,2023-03-02 15:22:00
142,142,instalacion,Hay que ir a instalar una nueva conexión,urgente,"Router TP-Link, Cable UTP",,2023-03-05 04:41:00,2023-03-07 01:41:00
143,143,configuracion,Configurar nuevamente el equipo,alta,Modem Huawei,,2023-03-03 04:58:00,2023-03-04 07:58:00
144,144,reparacion,Es necesario reparar el sistema dañado,urgente,Modem Huawei,,2023-03-01 11:04:00,2023-03-04 02:04:00
145,145,instalacion,Hay que ir a instalar una nueva conexión,normal,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-02-27 10:00:00,2023-03-02 00:00:00
146,146,reparacion,Es necesario reparar el sistema dañado,alta,Switch de 8 puertos,,2023-03-01 19:22:00,2023-03-02 02:22:00
147,147,instalacion,Hay que ir a instalar una nueva conexión,alta,,Verificar stock en bodega,2023-02-27 18:51:00,2023-03-01 01:51:00
148,148,instalacion,Hay que ir a instalar una nueva conexión,baja,"Router TP-Link, Cable UTP",,2023-02-27 05:54:00,2023-03-01 03:54:00
149,149,reparacion,Es necesario reparar el sistema dañado,normal,Modem Huawei,,2023-03-02 02:45:00,2023-03-04 07:45:00
150,150,configuracion,Configurar nuevamente el equipo,urgente,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-03-07 12:02:00,2023-03-09 20:02:00
151,151,mantenimiento,Realizar mantenimiento preventivo,baja,,Verificar stock en bodega,2023-03-10 02:10:00,2023-03-12 19:10:00
152,152,mantenimiento,Realizar mantenimiento preventivo,alta,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-03-08 11:46:00,2023-03-09 22:46:00
153,153,reparacion,Es necesario reparar el sistema dañado,alta,,,2023-03-11 03:49:00,2023-03-11 05:49:00
154,154,configuracion,Configurar nuevamente el equipo,urgente,Antena de 5GHz,,2023-03-08 20:55:00,2023-03-09 04:55:00
155,155,configuracion,Configurar nuevamente el equipo,baja,,,2023-03-07 11:57:00,2023-03-08 13:57:00
156,156,instalacion,Hay que ir a instalar una nueva conexión,normal,Modem Huawei,Verificar stock en bodega,2023-03-07 22:59:00,2023-03-10 22:59:00
157,157,configuracion,Configurar nuevamente el equipo,normal,"Router TP-Link, Cable UTP",,2023-03-12 03:11:00,2023-03-15 02:11:00
158,158,configuracion,Configurar nuevamente el equipo,alta,Modem Huawei,,2023-03-07 07:22:00,2023-03-07 21:22:00
159,159,mantenimiento,Realizar mantenimiento preventivo,urgente,,Verificar stock en bodega,2023-03-06 00:46:00,2023-03-08 09:46:00
160,160,reparacion,Es necesario reparar el sistema dañado,baja,Modem Huawei,,2023-03-10 23:09:00,2023-03-11 17:09:00
161,161,instalacion,Hay que ir a instalar una nueva conexión,alta,Switch de 8 puertos,Verificar stock en bodega,2023-03-11 16:39:00,2023-03-13 12:39:00
162,162,reparacion,Es necesario reparar el sistema dañado,urgente,Switch de 8 puertos,Verificar stock en bodega,2023-03-05 18:57:00,2023-03-07 15:57:00
163,163,configuracion,Configurar nuevamente el equipo,baja,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-03-05 20:47:00,2023-03-07 01:47:00
164,164,mantenimiento,Realizar mantenimiento preventivo,baja,Antena de 5GHz,Verificar stock en bodega,2023-03-05 17:53:00,2023-03-06 20:53:00
165,165,configuracion,Configurar nuevamente el equipo,urgente,Antena de 5GHz,Verificar stock en bodega,2023-03-09 18:00:00,2023-03-12 09:00:00
166,166,reparacion,Es necesario reparar el sistema dañado,alta,,,2023-03-06 16:53:00,2023-03-09 03:53:00
167,167,configuracion,Configurar nuevamente el equipo,urgente,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-03-14 07:11:00,2023-03-16 01:11:00
168,168,configuracion,Configurar nuevamente el equipo,urgente,Antena de 5GHz,Verificar stock en bodega,2023-03-15 07:24:00,2023-03-17 22:24:00
169,169,reparacion,Es necesario reparar el sistema dañado,baja,"Router TP-Link, Cable UTP",,2023-03-16 22:16:00,2023-03-18 03:16:00
170,170,reparacion,Es necesario reparar el sistema dañado,baja,,Verificar stock en bodega,2023-03-17 07:57:00,2023-03-19 18:57:00
171,171,instalacion,Hay que ir a instalar una nueva conexión,baja,,Verificar stock en bodega,2023-03-19 05:35:00,2023-03-20 12:35:00
172,172,instalacion,Hay que ir a instalar una nueva conexión,baja,Switch de 8 puertos,Verificar stock en bodega,2023-03-15 14:40:00,2023-03-16 16:40:00
173,173,configuracion,Configurar nuevamente el equipo,alta,Switch de 8 puertos,,2023-03-18 09:03:00,2023-03-19 16:03:00
174,174,instalacion,Hay que ir a instalar una nueva conexión,urgente,Modem Huawei,Verificar stock en bodega,2023-03-13 12:45:00,2023-03-14 04:45:00
175,175,instalacion,Hay que ir a instalar una nueva conexión,alta,,,2023-03-16 20:25:00,2023-03-18 16:25:00
176,176,instalacion,Hay que ir a instalar una nueva conexión,alta,Antena de 5GHz,,2023-03-13 22:31:00,2023-03-15 21:31:00
177,177,reparacion,Es necesario reparar el sistema dañado,alta,Modem Huawei,,2023-03-13 17:47:00,2023-03-15 06:47:00
178,178,instalacion,Hay que ir a instalar una nueva conexión,urgente,Switch de 8 puertos,,2023-03-18 19:21:00,2023-03-19 05:21:00
179,179,instalacion,Hay que ir a instalar una nueva conexión,urgente,,,2023-03-17 00:57:00,2023-03-17 19:57:00
180,180,configuracion,Configurar nuevamente el equipo,alta,Antena de 5GHz,,2023-03-16 05:02:00,2023-03-18 23:02:00
181,181,configuracion,Configurar nuevamente el equipo,normal,Switch de 8 puertos,,2023-03-15 17:30:00,2023-03-16 22:30:00
182,182,instalacion,Hay que ir a instalar una nueva conexión,alta,Switch de 8 puertos,,2023-03-14 06:22:00,2023-03-16 19:22:00
183,183,mantenimiento,Realizar mantenimiento preventivo,alta,Antena de 5GHz,Verificar stock en bodega,2023-03-18 00:33:00,2023-03-20 07:33:00
184,184,configuracion,Configurar nuevamente el equipo,alta,,,2023-03-15 13:41:00,2023-03-16 09:41:00
185,185,mantenimiento,Realizar mantenimiento preventivo,alta,Switch de 8 puertos,Verificar stock en bodega,2023-03-15 08:40:00,2023-03-16 01:40:00
186,186,configuracion,Configurar nuevamente el equipo,baja,"Router TP-Link, Cable UTP",,2023-03-15 07:27:00,2023-03-15 17:27:00
187,187,mantenimiento,Realizar mantenimiento preventivo,alta,,,2023-03-16 21:50:00,2023-03-18 16:50:00
188,188,mantenimiento,Realizar mantenimiento preventivo,urgente,"Router TP-Link, Cable UTP",,2023-03-15 03:24:00,2023-03-16 14:24:00
189,189,configuracion,Configurar nuevamente el equipo,alta,Switch de 8 puertos,Verificar stock en bodega,2023-03-23 22:54:00,2023-03-25 04:54:00
190,190,configuracion,Configurar nuevamente el equipo,alta,"Router TP-Link, Cable UTP",Verificar stock en bodega,2023-03-20 16:01:00,2023-03-21 04:01:00
191,191,configuracion,Configurar nuevamente el equipo,urgente,Modem Huawei,,2023-03-22 03:48:00,2023-03-22 23:48:00
192,192,configuracion,Configurar nuevamente el equipo,normal,Modem Huawei,,2023-03-23 09:06:00,2023-03-25 23:06:00
193,193,mantenimiento,Realizar mantenimiento preventivo,normal,Antena de 5GHz,Verificar stock en bodega,2023-03-25 16:18:00,2023-03-27 13:18:00
194,194,reparacion,Es necesario reparar el sistema dañado,alta,Antena de 5GHz,Verificar stock en bodega,2023-03-23 19:48:00,2023-03-26 12:48:00
195,195,reparacion,Es necesario reparar el sistema dañado,normal,Switch de 8 puertos,,2023-03-20 04:01:00,2023-03-22 13:01:00
196,196,instalacion,Hay que ir a instalar una nueva conexión,urgente,Switch de 8 puertos,,2023-03-24 13:12:00,2023-03-24 22:12:00
197,197,instalacion,Hay que ir a instalar una nueva conexión,alta,,Verificar stock en bodega,2023-03-22 05:02:00,2023-03-22 11:02:00
